,Country,Year,Homicide,Inequality,Compulsory education duration (years),GDP per capita (constant 2010 US$),Lower secondary completion rate total (% of relevant age group),Research and development expenditure (% of GDP),School enrollment tertiary (% gross),Unemployment total (% of total labor force) (national estimate),Urban population (% of total population),Unsentenced,Police personel
155,Czechia,2008,1.0934971740000001,0.251,9.0,20614.19769,94.98961639,1.2393299999999998,58.06951141,4.389999866,73.39399999999999,11.71592999,244.5
156,Czechia,2009,0.89624915,0.249,9.0,19542.46928,94.65381622,1.2943799999999999,61.07540894,6.659999847000001,73.324,11.05111408,345.45
157,Czechia,2010,0.977552917,0.252,9.0,19960.06849,86.63262939,1.3368799999999998,63.94588089,7.28000021,73.255,11.1552515,331.97
158,Czechia,2011,0.8138920390000001,0.249,9.0,20269.48743,88.61505890000001,1.55571,65.57000732,6.7100000379999996,73.185,11.2775135,338.71000000000004
159,Czechia,2012,0.992316447,0.24600000000000002,9.0,20082.25119,92.17099762,1.7823099999999998,65.6711731,6.980000018999999,73.197,9.640522957,322.12
160,Czechia,2013,0.850137,0.251,9.0,20066.37559,96.78569031,1.89973,65.08576965,6.9499998089999995,73.29,13.86602497,269.52
161,Czechia,2014,0.764792792,0.25,9.0,20498.70575,98.05776978,1.97285,65.62409973,6.110000134,73.384,11.71079445,261.33
162,Czechia,2015,0.8300798290000001,0.251,9.0,21560.826230000002,98.93682861,1.92923,64.48162842,5.0500001910000005,73.477,9.393271446,323.83
163,Czechia,2016,0.612117977,0.245,9.0,22065.46864,96.95422363,1.68015,63.7481308,3.950000048,73.57,10.552032948,292.58
164,Czechia,2017,0.620240593,0.24,9.0,23144.40872,95.52796173,1.79079,64.07868958,2.890000105,73.675,9.972652197,308.205
165,Denmark,2003,1.20661567,0.239,9.0,56256.75574,99.21456146,2.51085,67.50428009,5.400000095,85.36,29.11288071,377.32
166,Denmark,2004,0.795890392,0.239,9.0,57608.73722,99.21456146,2.4191599999999998,74.39499664,5.1999998089999995,85.566,28.90894699,377.32
167,Denmark,2005,0.977552986,0.237,9.0,58792.66044,99.21456146,2.39337,80.37451172,4.829999924,85.85600000000001,25.83518982,160.9
168,Denmark,2006,0.5326678779999999,0.252,9.0,60892.77157999999,99.21456146,2.403,79.01963043,3.900000095,86.098,27.92471886,306.17
169,Denmark,2007,0.712990318,0.251,9.0,61174.54161,99.21456146,2.5154099999999997,78.55219269,3.799999952,86.29299999999999,28.11810112,326.34
170,Denmark,2008,0.982223394,0.26899999999999996,9.0,60504.77696,99.21456146,2.77346,75.68209076,3.680000067,86.48700000000001,34.27991867,342.92
171,Denmark,2009,0.8504649240000001,0.26899999999999996,9.0,57229.03987000001,97.11873627,3.05514,74.28376007,6.409999847000001,86.654,38.32303238,875.93
172,Denmark,2010,0.75609616,0.266,9.0,58041.39844,97.80104065,2.9170700000000003,73.59667206,7.75,86.795,35.72515106,328.32
173,Denmark,2011,0.823932738,0.265,10.0,58575.6078,99.70815277,2.94465,76.75834656,7.769999981000001,86.95700000000001,34.98860168,602.125
174,Denmark,2012,0.837653935,0.268,10.0,58487.79354,96.37104034,2.98125,79.10832214,7.8000001910000005,87.14200000000001,28.51919556,283.71
175,Denmark,2013,0.85134278,0.27699999999999997,10.0,58788.084160000006,97.55674744,2.97048,80.9310379,7.3800001139999996,87.292,29.96822357,561.94
176,Denmark,2014,1.306451274,0.27399999999999997,10.0,59437.94732000001,95.8318634,2.9140900000000003,81.02908325,6.929999828,87.41,29.75160408,422.82500000000005
177,Denmark,2015,1.089880895,0.27699999999999997,10.0,60402.12964,97.59461212,3.05497,82.12949371,6.28000021,87.52600000000001,29.03527832,416.49
178,Denmark,2016,0.9805044209999999,0.276,10.0,61877.97648,99.45043182,3.1040099999999997,81.05674744,5.989999771,87.64200000000001,29.393441199999998,507.89
